iter	RMSE
0	2368965.24
1	2303879.72
2	2234214.413
3	2173046.594
4	2107424.576
5	2050888.602
6	1995675.836
7	1937238.87
8	1891725.158
9	1839128.266
10	1791960.171
11	1744654.785
12	1700238.22
13	1659764.356
14	1620118.777
15	1578512.807
16	1544045.723
17	1509684.821
18	1475936.948
19	1442706.027
20	1414710.807
21	1382200.051
22	1353715.297
23	1323885.434
24	1297269.604
25	1268860.373
26	1241247.113
27	1214014.006
28	1189710.748
29	1164890.943
30	1142023.408
31	1119267.457
32	1097710.707
33	1076993.506
34	1056331.207
35	1036911.112
36	1017497.03
37	999006.9327
38	982193.0101
39	963799.8831
40	946937.5644
41	930328.4415
42	914402.9205
43	898456.4847
44	883103.1756
45	867492.1881
46	852799.5168
47	837950.5931
48	825748.9325
49	811395.2158
50	797900.5882
51	784526.614
52	771477.8389
53	759870.0367
54	748158.0548
55	736435.6955
56	724464.6334
57	712903.941
58	702340.0217
59	691058.916
60	680800.1732
61	670505.0214
62	661067.0882
63	651276.2133
64	641247.175
65	631320.0507
66	622140.4801
67	613672.7043
68	604805.453
69	595996.1101
70	588106.0092
71	579384.7652
72	571561.697
73	564002.867
74	556510.1628
75	549219.0542
76	541945.0562
77	534405.8136
78	527291.9147
79	520325.317
80	513420.3428
81	506161.7668
82	499273.7288
83	492606.4863
84	486524.5315
85	479903.7044
86	473829.0917
87	468125.068
88	462207.8849
89	455845.3168
90	449977.5837
91	444484.7578
92	439795.5208
93	434242.1167
94	428437.8401
95	423094.3689
96	418043.377
97	412851.4179
98	407839.6876
99	403507.5487
100	398892.5369
101	393844.4566
102	389091.6077
103	384831.9376
104	380448.7695
105	376091.6409
106	371600.2732
107	367462.2327
108	363331.4388
109	359263.0863
110	355422.7966
111	351542.0387
112	347633.9063
113	343965.541
114	340110.0983
115	336275.0477
116	332593.3696
117	329060.2067
118	325942.3568
119	322686.6274
120	319341.3169
121	316034.1682
122	312592.0894
123	309236.4557
124	306306.1804
125	303289.4814
126	300169.913
127	297102.4507
128	294425.1124
129	291537.3199
130	288614.043
131	285664.4533
132	283200.3217
133	280654.7577
134	277760.2249
135	275081.9196
136	272481.9823
137	269944.2935
138	267231.2772
139	264778.5814
140	262338.6232
141	259952.215
142	257606.0735
143	255294.3561
144	253030.3927
145	250678.8974
146	248353.7657
147	246237.7408
148	243987.6038
149	241759.8454
150	239643.7063
151	237591.2547
152	235484.3965
153	233418.0354
154	231503.0545
155	229509.7382
156	227686.9793
157	225785.6238
158	223864.3012
159	222047.5857
160	220153.7603
161	218351.7132
162	216733.8363
163	214967.7249
164	213275.5905
165	211736.7843
166	209985.0669
167	208322.707
168	206799.8901
169	205259.277
170	203689.0715
171	202215.4766
172	200608.8753
173	199144.0511
174	197740.6561
175	196397.5173
176	194989.1033
177	193607.8082
178	192252.128
179	190864.4614
180	189534.7127
181	188153.7787
182	186873.491
183	185610.5851
184	184374.3522
185	183145.5969
186	181932.7801
187	180795.4851
188	179670.4628
189	178562.5387
190	177423.755
191	176262.0758
192	175121.0346
193	174000.8548
194	172851.7622
195	171786.5615
196	170714.9634
197	169715.8048
198	168703.1388
199	167756.2277
200	166778.9555
201	165794.8175
202	164840.4172
203	163929.6963
204	162973.8476
205	162061.7399
206	161183.7826
207	160283.0096
208	159431.3222
209	158581.6146
210	157695.0779
211	156911.1398
212	156083.8219
213	155317.2893
214	154525.4456
215	153709.8686
216	152971.6084
217	152129.2641
218	151371.6647
219	150677.4736
220	149965.6298
221	149217.0366
222	148542.5224
223	147869.5898
224	147181.3209
225	146511.583
226	145806.5121
227	145139.3917
228	144498.4697
229	143898.0152
230	143302.0133
231	142666.9351
232	142057.7787
233	141511.0084
234	140964.9302
235	140427.8139
236	139850.6565
237	139325.6729
238	138805.4416
239	138265.1294
240	137736.8514
241	137200.0564
242	136695.7475
243	136190.3937
244	135714.0209
245	135230.8267
246	134765.4866
247	134280.4997
248	133745.5936
249	133310.7539
250	132844.2254
251	132386.0566
252	131935.268
253	131530.9772
254	131116.3381
255	130727.1809
256	130339.8342
257	129965.822
258	129501.4831
259	129114.5053
260	128737.0946
261	128357.5123
262	127956.6946
263	127582.2426
264	127198.596
265	126851.7993
266	126521.3032
267	126186.6301
268	125883.5751
269	125587.0721
270	125199.3966
271	124890.4218
272	124612.441
273	124239.0235
274	123939.0715
275	123503.4538
276	123205.1006
277	122924.2735
278	122630.619
279	122304.0688
280	121957.4203
281	121662.2095
282	121384.3048
283	121091.4906
284	120851.0213
285	120587.4055
286	120337.4445
287	120089.1028
288	119675.3756
289	119437.4742
290	119100.1631
291	118680.3958
292	118346.0958
293	118123.1846
294	117904.1653
295	117517.6654
296	117166.9283
297	116930.2742
298	116636.82
299	116380.8538
300	116179.093
301	115845.0726
302	115610.403
303	115294.9674
304	115086.5813
305	114879.2015
306	114680.5142
307	114463.4418
308	114166.822
309	113844.4871
310	113625.6093
311	113415.1902
312	113127.8196
313	112776.0841
314	112499.6667
315	112336.5093
316	112089.986
317	111910.603
318	111706.5254
319	111415.7124
320	111129.7394
321	110961.4024
322	110697.3631
323	110473.4214
324	110300.8212
325	110134.387
326	109884.458
327	109678.199
328	109360.4836
329	109180.2782
330	108945.6856
331	108686.0563
332	108524.255
333	108368.7449
334	108209.5629
335	108040.125
336	107915.1452
337	107735.8502
338	107444.8988
339	107263.2232
340	107107.374
341	106907.8698
342	106747.7467
343	106551.5829
344	106382.1115
345	106128.7824
346	105952.1382
347	105739.1026
348	105552.656
349	105319.6163
350	105073.4385
351	104890.9748
352	104626.8432
353	104495.5413
354	104267.4063
355	104040.5543
356	103887.1587
357	103751.4109
358	103535.3696
359	103340.8795
360	103110.2804
361	102916.5241
362	102726.6097
363	102490.1696
364	102282.1089
365	102104.8582
366	101889.5299
367	101736.7846
368	101502.3004
369	101253.4716
370	101023.7562
371	100876.1993
372	100686.5785
373	100489.2801
374	100315.0215
375	100134.9395
376	99871.49057
377	99751.5598
378	99597.68603
379	99440.39642
380	99213.16352
381	98992.00374
382	98799.13687
383	98588.81558
384	98375.21179
385	98178.70203
386	97933.15356
387	97734.51317
388	97598.17447
389	97349.33331
390	97162.61466
391	96926.88181
392	96772.02661
393	96599.12048
394	96466.09277
395	96310.84879
396	96128.35663
397	95981.99564
398	95819.6768
399	95644.37632
400	95488.97277
401	95318.11487
402	95153.43408
403	94994.2009
404	94875.51144
405	94752.02192
406	94594.31592
407	94357.82088
408	94152.21147
409	94018.32367
410	93851.40723
411	93719.7651
412	93542.71118
413	93353.2877
414	93192.94772
415	93075.09897
416	92931.55042
417	92790.54982
418	92682.47248
419	92520.71413
420	92382.14982
421	92244.98198
422	92098.45734
423	91901.89201
424	91751.45356
425	91656.9427
426	91525.29176
427	91402.33488
428	91136.26658
429	91027.93687
430	90843.14752
431	90721.52502
432	90563.75274
433	90395.32439
434	90233.62603
435	90088.1509
436	89896.54627
437	89771.37917
438	89621.3008
439	89405.39479
440	89264.60037
441	89118.43194
442	88963.29435
443	88849.18252
444	88634.63598
445	88493.22687
446	88321.13101
447	88170.77275
448	88020.32901
449	87851.55248
450	87650.99606
451	87526.98853
452	87358.91995
453	87215.15318
454	87042.83323
455	86913.10949
456	86753.29423
457	86578.64371
458	86427.1757
459	86260.16006
460	86124.08988
461	85947.57543
462	85828.39369
463	85705.57972
464	85589.99729
465	85458.10472
466	85346.42854
467	85206.00389
468	85050.92241
469	84967.57454
470	84845.74604
471	84700.05329
472	84434.38946
473	84289.06563
474	84175.25656
475	84050.59612
476	83931.53466
477	83779.2402
478	83680.33427
479	83544.10149
480	83420.34176
481	83268.50983
482	83148.69567
483	83014.82292
484	82895.74063
485	82697.54825
486	82578.19941
487	82474.19327
488	82337.73835
489	82207.49659
490	82083.16487
491	81990.7868
492	81841.94607
493	81708.11484
494	81620.42029
495	81507.73176
496	81356.10992
497	81224.41217
498	81093.18241
499	80949.04401
500	80817.79998
501	80680.2044
502	80531.34038
503	80420.36057
504	80281.8149
505	80134.75406
506	80018.2366
507	79895.59738
508	79795.87398
509	79704.70839
510	79521.77621
511	79410.95082
512	79296.60452
513	79154.8761
514	79033.94758
515	78928.12761
516	78806.89812
517	78669.81082
518	78517.44742
519	78438.58435
520	78323.59317
521	78207.88621
522	78098.67146
523	77996.94395
524	77869.77927
525	77749.6909
526	77649.36822
527	77521.88583
528	77388.55148
529	77255.51879
530	77128.42676
531	77046.47551
532	76912.29264
533	76821.72788
534	76701.60033
535	76504.62638
536	76338.8116
537	76217.30166
538	76090.48964
539	75974.38441
540	75862.14778
541	75715.10459
542	75638.75155
543	75535.37665
544	75437.99499
545	75317.49162
546	75203.6153
547	75075.62292
548	74944.07192
549	74844.49909
550	74677.77688
551	74558.71661
552	74413.21868
553	74280.11025
554	74160.04016
555	74063.45494
556	73979.82085
557	73809.58717
558	73716.65381
559	73566.01201
560	73455.85266
561	73362.04365
562	73260.0143
563	73161.59772
564	73021.27957
565	72930.19123
566	72835.52225
567	72708.23454
568	72615.00113
569	72490.75271
570	72367.62795
571	72271.09232
572	72174.05809
573	72035.52436
574	71894.09678
575	71750.46305
576	71609.91466
577	71493.56675
578	71372.82683
579	71212.49435
580	71075.97217
581	70985.45401
582	70876.94202
583	70786.959
584	70674.43187
585	70594.92619
586	70470.60042
587	70409.15873
588	70270.47159
589	70182.55398
590	70063.24064
591	69979.88895
592	69889.66722
593	69782.55461
594	69658.61126
595	69555.99849
596	69452.2336
597	69316.78023
598	69185.87112
599	69098.58878
600	68989.50179
601	68882.38083
602	68763.21537
603	68691.77329
604	68581.51333
605	68458.51428
606	68372.65673
607	68295.85347
608	68188.94991
609	68083.76703
610	67960.20358
611	67845.79027
612	67735.53963
613	67656.71877
614	67547.83962
615	67439.17767
616	67335.76844
617	67250.74095
618	67117.35481
619	66998.1859
620	66848.12312
621	66747.07932
622	66652.85369
623	66572.53479
624	66422.92876
625	66315.529
626	66245.44251
627	66138.42365
628	66008.94213
629	65906.52695
630	65806.39583
631	65718.04
632	65635.18346
633	65565.38398
634	65489.76896
635	65383.25695
636	65291.53788
637	65203.36038
638	65040.61172
639	64940.29672
640	64820.04392
641	64710.5651
642	64627.2434
643	64498.71595
644	64390.54686
645	64294.69285
646	64233.21869
647	64135.19697
648	64024.09717
649	63922.86598
650	63848.10228
651	63701.08521
652	63622.07666
653	63510.3014
654	63388.90705
655	63299.67254
656	63188.74046
657	63128.38046
658	63011.47329
659	62906.46517
660	62819.35773
661	62726.16924
662	62610.64881
663	62500.88291
664	62394.08601
665	62280.57166
666	62208.37087
667	62145.55373
668	62060.14153
669	61960.37011
670	61828.76888
671	61739.01866
672	61615.71094
673	61552.88253
674	61495.19172
675	61387.91686
676	61245.48653
677	61120.91814
678	61005.6356
679	60889.24919
680	60792.4735
681	60718.79621
682	60632.12059
683	60527.08847
