iter	Passed	Remaining
0	59	59228
1	69	34701
2	79	26461
3	89	22393
4	100	19912
5	110	18274
6	120	17075
7	130	16182
8	140	15474
9	150	14909
10	160	14468
11	170	14075
12	181	13768
13	191	13494
14	201	13244
15	211	13018
16	222	12846
17	232	12691
18	242	12523
19	252	12370
20	262	12242
21	272	12121
22	282	12018
23	292	11904
24	302	11807
25	312	11715
26	322	11632
27	333	11562
28	343	11484
29	353	11425
30	363	11363
31	373	11304
32	383	11252
33	394	11203
34	404	11153
35	414	11102
36	424	11054
37	434	11010
38	445	10967
39	454	10918
40	464	10868
41	474	10830
42	484	10793
43	495	10757
44	505	10718
45	515	10683
46	525	10653
47	535	10620
48	545	10584
49	555	10556
50	565	10527
51	575	10489
52	585	10454
53	595	10423
54	604	10391
55	614	10362
56	624	10339
57	635	10315
58	645	10289
59	655	10267
60	665	10241
61	675	10216
62	685	10188
63	695	10170
64	705	10145
65	715	10121
66	725	10096
67	735	10075
68	745	10058
69	755	10035
70	765	10016
71	775	9995
72	785	9969
73	794	9945
74	804	9926
75	814	9906
76	825	9889
77	835	9870
78	844	9849
79	854	9830
80	864	9812
81	875	9796
82	884	9776
83	894	9756
84	904	9734
85	914	9714
86	923	9693
87	933	9678
88	943	9661
89	953	9643
90	963	9623
91	973	9608
92	983	9592
93	993	9576
94	1003	9559
95	1013	9540
96	1023	9526
97	1033	9507
98	1043	9493
99	1053	9478
100	1062	9459
101	1072	9439
102	1082	9425
103	1092	9408
104	1101	9392
105	1112	9380
106	1122	9365
107	1132	9351
108	1142	9338
109	1152	9320
110	1162	9309
111	1172	9293
112	1182	9278
113	1191	9263
114	1201	9248
115	1211	9235
116	1221	9220
117	1231	9205
118	1241	9191
119	1251	9177
120	1261	9164
121	1271	9150
122	1281	9137
123	1291	9122
124	1301	9108
125	1310	9093
126	1320	9078
127	1330	9063
128	1340	9050
129	1350	9038
130	1360	9024
131	1370	9011
132	1379	8995
133	1389	8982
134	1399	8968
135	1409	8956
136	1419	8944
137	1429	8930
138	1439	8918
139	1449	8904
140	1459	8893
141	1469	8878
142	1479	8866
143	1489	8854
144	1499	8842
145	1509	8830
146	1519	8818
147	1529	8805
148	1539	8792
149	1549	8778
150	1559	8767
151	1568	8753
152	1578	8740
153	1588	8728
154	1599	8717
155	1608	8704
156	1619	8694
157	1628	8680
158	1638	8668
159	1648	8657
160	1659	8646
161	1669	8637
162	1679	8625
163	1689	8613
164	1699	8602
165	1709	8589
166	1719	8576
167	1729	8563
168	1739	8552
169	1749	8540
170	1759	8529
171	1769	8518
172	1779	8507
173	1789	8496
174	1799	8485
175	1809	8473
176	1819	8460
177	1829	8449
178	1839	8436
179	1849	8423
180	1859	8411
181	1869	8400
182	1879	8390
183	1889	8378
184	1899	8366
185	1909	8355
186	1919	8344
187	1928	8331
188	1938	8320
189	1949	8309
190	1959	8297
191	1969	8286
192	1978	8274
193	1988	8263
194	1998	8251
195	2008	8239
196	2018	8227
197	2028	8214
198	2038	8204
199	2048	8192
200	2057	8180
201	2067	8168
202	2077	8156
203	2087	8144
204	2097	8133
205	2107	8122
206	2117	8111
207	2127	8101
208	2137	8090
209	2148	8080
210	2157	8069
211	2167	8056
212	2177	8045
213	2187	8034
214	2197	8022
215	2207	8011
216	2217	7999
217	2227	7989
218	2237	7978
219	2246	7966
220	2256	7954
221	2266	7942
222	2276	7931
223	2286	7920
224	2296	7910
225	2306	7899
226	2316	7889
227	2326	7878
228	2336	7867
229	2346	7856
230	2356	7844
231	2366	7833
232	2376	7822
233	2386	7811
234	2396	7800
235	2405	7788
236	2416	7778
237	2425	7767
238	2435	7756
239	2445	7745
240	2455	7733
241	2465	7723
242	2475	7712
243	2486	7702
244	2496	7692
245	2506	7681
246	2516	7671
247	2525	7659
248	2535	7647
249	2545	7637
250	2555	7626
251	2565	7616
252	2575	7604
253	2585	7593
254	2595	7582
255	2605	7572
256	2615	7561
257	2625	7550
258	2635	7539
259	2645	7528
260	2655	7517
261	2665	7509
262	2675	7498
263	2685	7487
264	2695	7476
265	2705	7466
266	2715	7454
267	2725	7443
268	2735	7432
269	2745	7421
270	2754	7410
